#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  20000      8.76e+00    8.79e+00      1.28e-01    1.29e-01      1.38e-01    1.37e-01    1.3e-04
  20100      5.32e+00    3.86e+00      4.04e-02    1.58e-02      1.50e-01    1.19e-01    1.3e-04
  20200      7.46e+00    5.52e+00      7.72e-02    7.02e-02      1.87e-01    1.15e-01    1.3e-04
  20300      5.13e+00    5.75e+00      3.58e-02    7.32e-02      1.48e-01    1.20e-01    1.3e-04
  20400      3.91e+00    6.11e+00      2.78e-02    7.17e-02      1.12e-01    1.39e-01    1.3e-04
  20500      9.47e+00    6.64e+00      1.23e-01    7.42e-02      1.91e-01    1.58e-01    1.3e-04
  20600      6.99e+00    2.99e+00      9.72e-02    1.04e-02      1.26e-01    9.27e-02    1.3e-04
  20700      8.16e+00    9.06e+00      1.24e-01    1.43e-01      1.12e-01    1.02e-01    1.3e-04
  20800      4.38e+00    1.73e+01      5.25e-02    2.71e-01      9.76e-02    2.08e-01    1.3e-04
  20900      7.18e+00    9.08e+00      9.04e-02    1.36e-01      1.52e-01    1.33e-01    1.3e-04
  21000      5.05e+00    4.13e+00      5.98e-02    4.12e-02      1.14e-01    1.05e-01    1.3e-04
  21100      6.92e+00    4.40e+00      1.02e-01    1.01e-02      1.07e-01    1.38e-01    1.3e-04
  21200      6.15e+00    5.83e+00      8.49e-02    7.93e-02      1.12e-01    1.10e-01    1.3e-04
  21300      4.10e+00    4.14e+00      2.64e-02    2.40e-02      1.20e-01    1.23e-01    1.3e-04
  21400      4.30e+00    4.45e+00      1.27e-02    3.70e-02      1.34e-01    1.22e-01    1.3e-04
  21500      8.87e+00    8.49e+00      1.40e-01    1.31e-01      1.02e-01    1.12e-01    1.3e-04
  21600      1.08e+01    3.12e+00      1.65e-01    1.14e-02      1.49e-01    9.63e-02    1.3e-04
  21700      7.07e+00    6.65e+00      8.49e-02    7.56e-02      1.57e-01    1.56e-01    1.3e-04
  21800      1.92e+01    5.92e+00      3.08e-01    8.34e-02      1.96e-01    1.04e-01    1.3e-04
  21900      6.80e+00    5.71e+00      5.40e-02    3.20e-02      1.90e-01    1.70e-01    1.3e-04
  22000      7.67e+00    8.60e+00      9.36e-02    1.37e-01      1.68e-01    9.02e-02    1.3e-04
  22100      6.47e+00    8.57e+00      8.19e-02    1.32e-01      1.36e-01    1.14e-01    1.3e-04
  22200      6.28e+00    1.21e+01      8.48e-02    1.85e-01      1.20e-01    1.62e-01    1.3e-04
  22300      7.44e+00    7.77e+00      1.14e-01    1.22e-01      9.76e-02    9.15e-02    1.3e-04
  22400      5.63e+00    5.58e+00      6.61e-03    4.08e-02      1.77e-01    1.59e-01    1.3e-04
  22500      5.95e+00    5.11e+00      8.98e-02    4.06e-02      8.47e-02    1.43e-01    1.3e-04
  22600      6.50e+00    5.00e+00      9.43e-02    3.11e-02      1.05e-01    1.47e-01    1.3e-04
  22700      1.05e+01    1.31e+01      1.59e-01    2.02e-01      1.45e-01    1.67e-01    1.3e-04
  22800      5.51e+00    1.26e+01      1.39e-02    2.09e-01      1.72e-01    8.18e-02    1.3e-04
  22900      1.15e+01    3.91e+00      1.74e-01    5.07e-02      1.64e-01    7.91e-02    1.3e-04
